DATE,VALUE,CODE
1998-01-01,325796,AL
1998-04-01,330308,AL
1998-07-01,338940,AL
1998-10-01,326596,AL
1999-01-01,353636,AL
1999-04-01,354612,AL
1999-07-01,357108,AL
1999-10-01,381668,AL
2000-01-01,378668,AL
2000-04-01,385356,AL
2000-07-01,391196,AL
2000-10-01,403680,AL
2001-01-01,376852,AL
2001-04-01,395516,AL
2001-07-01,398020,AL
2001-10-01,406088,AL
2002-01-01,415600,AL
2002-04-01,429884,AL
2002-07-01,448848,AL
2002-10-01,437564,AL
2003-01-01,446204,AL
2003-04-01,447840,AL
2003-07-01,463856,AL
2003-10-01,462124,AL
2004-01-01,473376,AL
2004-04-01,476268,AL
2004-07-01,490072,AL
2004-10-01,565344,AL
2005-01-01,506504,AL
2005-04-01,517432,AL
2005-07-01,504736,AL
2005-10-01,518668,AL
2006-01-01,524860,AL
2006-04-01,547400,AL
2006-07-01,553064,AL
2006-10-01,562948,AL
2007-01-01,584764,AL
2007-04-01,609700,AL
2007-07-01,634132,AL
2007-10-01,616716,AL
2008-01-01,616320,AL
2008-04-01,602708,AL
2008-07-01,606428,AL
2008-10-01,624588,AL
2009-01-01,635392,AL
2009-04-01,640008,AL
2009-07-01,651112,AL
2009-10-01,671444,AL
2010-01-01,665480,AL
2010-04-01,677996,AL
2010-07-01,693912,AL
2010-10-01,680912,AL
2011-01-01,695964,AL
2011-04-01,696500,AL
2011-07-01,713572,AL
2011-10-01,701632,AL
2012-01-01,713732,AL
2012-04-01,725020,AL
2012-07-01,727152,AL
2012-10-01,736896,AL
2013-01-01,750476,AL
2013-04-01,744424,AL
2013-07-01,747116,AL
2013-10-01,743632,AL
2014-01-01,769168,AL
2014-04-01,759220,AL
2014-07-01,765980,AL
2014-10-01,779820,AL
2015-01-01,776400,AL
2015-04-01,773592,AL
2015-07-01,788412,AL
2015-10-01,793240,AL
2016-01-01,813100,AL
2016-04-01,828152,AL
2016-07-01,837468,AL
2016-10-01,838984,AL
2017-01-01,843760,AL
2017-04-01,837980,AL
2017-07-01,846584,AL
2017-10-01,831536,AL
2018-01-01,825332,AL
2018-04-01,837716,AL
2018-07-01,826604,AL
2018-10-01,856460,AL
2019-01-01,854444,AL
2019-04-01,870844,AL
2019-07-01,872144,AL
2019-10-01,885136,AL
2020-01-01,863776,AL
2020-04-01,850352,AL
2020-07-01,830172,AL
2020-10-01,899108,AL
2021-01-01,891452,AL
2021-04-01,877492,AL
2021-07-01,885688,AL
2021-10-01,907904,AL
2022-01-01,929692,AL
2022-04-01,921132,AL
